"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"324",1248,"HPI-Information-Systems/Metanome","https://www.github.com/HPI-Information-Systems/Metanome",1966,2647,8438474,1,1,"Java","ORG",0.25,0,-1,257,10,27,2633,1,239,95,143,146,33,284,8438474,0.995133819951338,0,1,0.340120984919485,0,1,0,27900,30980,"dormant",100,0.373297491039426,0,0
"327",1255,"IQSS/dataverse","https://www.github.com/IQSS/dataverse",1736,2853,9407604,1,1,"Java","ORG",0.0462428,1,-1,1498,236,135,11705,36,4230,1184,2231,908,191,5268,9407604,0.96943231441048,0,1,0.161321388396578,0,1,0,134622,207266,"dormant",366,0.162105747946101,0,0
"333",1268,"LibrePCB/LibrePCB","https://www.github.com/LibrePCB/LibrePCB",1506,3750,21445495,1,1,"C++","USR",0.25,0,1,6,6,21,1310,8,147,66,89,197,74,139,21445495,0.996938775510204,0,1,0.344009025949605,0,1,0,83629,87214,"dormant",509,0.0353346327230984,0,0
"337",1283,"MvvmFx/MvvmFx","https://www.github.com/MvvmFx/MvvmFx",1067,4442,23911874,1,1,"C#","ORG",0.166667,1,1,42,35,4,584,1,39,15,19,186,9,397,23911874,0.84923928077455,0,0,0.184765755333556,0,1,0,53159,83074,"dormant",43,0.0385259316390451,0,0
"338",1284,"MyRobotLab/myrobotlab","https://www.github.com/MyRobotLab/myrobotlab",1462,4446,8952646,1,1,"Java","ORG",0.107143,1,-1,1,1,30,3187,2,208,189,145,134,54,21,8952646,0.992373689227836,0,1,0.292152980408504,0,1,0,121963,244530,"dormant",112,0.0447676754425523,0,0
"346",1305,"Particular/docs.particular.net","https://www.github.com/Particular/docs.particular.net",1831,4928,6601601,1,1,"C#","ORG",0.0287356,-1,-1,106,20,140,13694,0,1283,1283,742,2812,219,2514,6601601,0.979807005003574,0,0,0.0251608895119154,0,1,0,95216,122393,"dormant",58,0.0767833137287851,0,0
"354",1340,"uwescience/myria","https://www.github.com/uwescience/myria",1852,22500,10494786,1,1,"Java","ORG",0.0227273,1,-1,39,9,23,4557,1,318,111,180,192,27,579,10494786,0.947098976109215,0,1,0.235939004989123,0,1,0,66569,70600,"dormant",94,0.148192101428593,0,0
"356",1344,"SRombauts/UE4GitPlugin","https://www.github.com/SRombauts/UE4GitPlugin",1412,NA,9726863,1,0,"C++","USR",0.222222,1,-1,18,9,7,235,0,70,44,45,14,56,34,9726863,0.954545454545455,0,0,0.179306171843485,0,1,0,4044,4069,"dormant",263,0,0,0
"357",1346,"TechStack/TechStack-s-HeavyMachineryMod","https://www.github.com/TechStack/TechStack-s-HeavyMachineryMod",1127,NA,14990776,1,0,"Java","USR",0.25,1,-1,26,4,3,622,0,68,52,33,67,7,87,14990776,0.990123456790123,0,0,0.109475683375161,0,1,0,25776,26258,"dormant",10,0,0,0
"361",1351,"dvasilen/Hive-XML-SerDe","https://www.github.com/dvasilen/Hive-XML-SerDe",1454,NA,5346971,1,0,"Java","USR",0.333333,1,-1,4,1,2,23,0,65,65,45,3,37,3,5346971,1,0,0,0.312998160637646,0,1,0,2094,2241,"dormant",37,0.257879656160458,0,0
"362",1352,"gkbm2013/tinker-IO","https://www.github.com/gkbm2013/tinker-IO",1057,NA,18677231,1,0,"Java","USR",0.166667,1,-1,9,3,5,118,0,75,73,52,3,8,8,18677231,0.987654320987654,0,0,0.0392614188532556,0,0,0,4756,4943,"dormant",13,0,0,0
"374",1397,"EddyVerbruggen/Calendar-PhoneGap-Plugin","https://www.github.com/EddyVerbruggen/Calendar-PhoneGap-Plugin",1734,NA,5428680,1,0,"Java","USR",0.0508475,1,-1,12,8,56,339,0,403,384,253,83,306,106,5428680,1,0,0,0.059106334841629,0,1,0,1503,3327,"dormant",660,0,0,0
"378",1408,"HangfireIO/Hangfire","https://www.github.com/HangfireIO/Hangfire",1820,NA,10535397,1,0,"C#","ORG",0.100917,1,-1,7,1,101,2800,0,915,540,520,314,954,385,10535397,0.864801864801865,0,1,0.189807961789725,0,1,0,35009,41050,"dormant",4212,0.327515781656146,0,0
